Date,Document Type,Title,Source,URL,Focus Area,Verification Notes
2025-05-08,PDF,Personal Safety Guide,"University of California, Davis (ucdc.edu)",https://www.ucdc.edu/sites/default/files/uploads/documents/Other/Personal%20Safety.pdf,Self-defense strategies,Verified university source; practical guide for personal safety in various scenarios
2025-05-08,Article,	Basic Street Safety for Women	,instructables.com,https://www.instructables.com/Basic-Street-Safety-for-Women/,"Self-defense strategies, Urban safety protocols"," practical, scenario-based safety tips"
2025-05-08,Article,Top self-defence techniques you need to teach your child,Times of India,https://timesofindia.indiatimes.com/life-style/parenting/moments/top-self-defence-techniques-you-need-to-teach-your-child/photostory/84403284.cms,Self-defense strategies,Published by a reputable news outlet; provides practical self-defense techniques for children.
2025-05-08,Article,Teaching Self-Defense Techniques for Protection,littleexplainers.com,https://www.littleexplainers.com/self-defense-techniques/,Self-defense strategies,Provides practical self-defense techniques applicable in various situations.
2025-05-08,Article,Basic Self-Defense,deepsentinel.com,https://www.deepsentinel.com/blogs/home-security/basic-self-defense/?srsltid=AfmBOorJEL_pcTwo1rhJmSMnNOOO-ttV9CPpdhWqKO6IfpZWJW2sWbZG,Self-defense strategies,Provides comprehensive self-defense techniques and strategies applicable in various situations.
2025-05-08,Article,7 Self-Defense Moves You Absolutely Should Know and Practice Regularly,realsimple.com,https://www.realsimple.com/health/preventative-health/safety/4-essential-self-defense-moves-everyone-should-know,Self-defense strategies,"Verified, beginner-friendly techniques"
2025-05-08,Article,5 Self-defense tricks to handle eve-teasers,Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/fitness/5-self-defense-tricks-to-handle-eve-teasers/articleshow/11601026.cms,Self-defense strategies,Provides practical self-defense tips for women to handle eve-teasing situations. Published by a reputable news outlet.
2025-05-08,Article,8 Self-Defense Moves Every Woman Needs to Know,healthline.com,https://www.healthline.com/health/womens-health/self-defense-tips-escape,Self-defense strategies,Provides detailed self-defense techniques for women; published by a reputable health information website.
2025-05-08,Article,3 Self-Defense Strategies Everyone Should Know,campussafetymagazine.com,https://www.campussafetymagazine.com/insights/3-self-defense-strategies-everyone-should-know/130656/,Self-defense strategies,"Provides comprehensive self-defense strategies focusing on awareness, boundary setting, and physical defense; published by a reputable safety-focused magazine."
2025-05-08,Article,	Self-Defense Techniques in Martial Arts Essay,Aithor.co.in,https://aithor.co.in/essay-examples/self-defense-techniques-in-martial-arts-essay,Self-defense strategies,"Provides a comprehensive overview of self-defense techniques in martial arts, including basic and advanced methods, situational awareness, and legal considerations."
