Date,Document Type,Title ,Source,URL,Focus area,Verification Notes
2025-05-09,Article,safety and security - India travel advice,travel.state.com,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/india-travel-advisory.html,safety advice (inclusive),Manually checked
2025-05-09,Article,safety Tips for India Travel,bookmundi.com,https://www.bookmundi.com/ng/safety-tips-for-india-travel,safety advice (inclusive),Manually checked
2025-05-09,Article,travel advice and advisories for India,travel.gc.ca,https://travel.gc.ca/destinations/india,safety advice (inclusive),Manually checked
2025-05-09,Article,Is it safe to travel to India in 2025?,bhtp.com,https://www.bhtp.com/blog/india-travel-safety/,safety advice (inclusive),Manually checked
2025-05-09,Article,Is India Safe To Visit? Travel Advice From Experts,safetravel.govt.nz,https://www.safetravel.govt.nz/destinations/india,safety advice (inclusive),Manually checked
2025-05-09,Article,towards gender-inclusive cities: Prioritizing safety parameters,http://sbt-durabi.org/,https://www.sbt-durabi.org/articles/xml/Abem/,safety advice (inclusive),Manually checked
2025-05-09,Article,child protection guide,https://resourcecentre,https://resourcecentre.savethechildren.net/document/child-protection-guide/,safety advice (inclusive),Manually checked
2025-05-09,Article,"readers’ take: Reclaim the night, curb crime",hindustantimes.com/,https://www.hindustantimes.com/cities/chandigarh-news/readers-take-reclaim-the-night-curb-crime-101642797040784.html,safety advice (inclusive),Manually checked
2025-05-09,Article,crime prevention advice,met.police.uk/cp/crime-prevention/,https://www.met.police.uk/cp/crime-prevention/,safety advice (inclusive),Manually checked
2025-05-09,Article,crime research investigation agency of india ,criai.org/,https://criai.org/page.php?page=crime-prevention,safety advice (inclusive),Manually checked
2025-05-09,PDF,crime prevention - tips,uppolice.gov.in/,https://uppolice.gov.in/site/writereaddata/siteContent/crime-prevention.pdf,safety advice (inclusive),Manually checked
2025-05-09,Article,guidelines for safety and security tips,cyberabadpolice.gov.in/,https://www.cyberabadpolice.gov.in/information/safety-tips.html,safety advice (inclusive),Manually checked
2025-05-09,Article,general safety tips,uppolice.gov.in/,https://uppolice.gov.in/article/en/general-safety-tips,safety advice (inclusive),Manually checked
2025-05-09,Article,safety tips   ,jhpolice.gov.in/,https://www.jhpolice.gov.in/safety-tips,safety advice (inclusive),Manually checked
2025-05-09,Article,personal safety and crime prevention tips,salisbury.edu/,"https://www.salisbury.edu/police/crime-prevention/personal-safety-tips.aspx#:~:text=You%20are%20your%20own%20best,%2C%20410%2D543%2D6222.",safety advice (inclusive),Manually checked
